No;Nomor Laporan;Tanggal Laporan;Tanggal Penilaian;Nilai Wajar Laporan;Deskripsi Objek;Nama Unit;Pemohon ;Nomor Surat Permohonan;Kategori Penilaian;Tanggal Permohonan Diterima;Objek Penilaian;Jumlah Objek Laporan;Nomor Surat Tugas;Tanggal Mulai Survey ;Tanggal Selesai Survey;Nomor Surat Kelengkapan ;Tanggal Surat Kelengkapan ;Nomor Surat Balas Kelengkapan ;Tanggal Surat Balas Kelengkapan ;Nota Dinas Tenaga Bantuan ;Tanggal Nota Dinas Tenaga Bantuan ;Nomor Nota Dinas Balas Bantuan ;Tanggal Balas Bantuan ;Nomor Surat BATKD Kirim ;Tanggal Surat BATKD Kirim ;Nomor Balasan Pemohon BATKD;Tanggal Balasan Pemohon BATKD;Nomor BATKD;Tanggal BATKD;Nomor Surat Penyerahan ;Tanggal Penyerahan ;Jenis Objek ;Jenis Objek Lainnya ;Tujuan Penilaian 1;Tujuan Penilaian 2;Tujuan Penilaian Lainnya ;Total Objek Permohonan ;Nomor Surat Konfirmasi ;Tanggal Surat Konfirmasi ;Nomor Surat Balas Konfirmasi;Tanggal Surat Balas Konfirmasi
1;LAP-0008/2/PRO-01/KNL.0503/01.02.01/2024;31-01-2024;24-01-2024;2735000;"Tanah Untuk Jalan Nasional Sp. Bujung Tenuk - 
Bujung Tenuk";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
2;LAP-0009/2/PRO-01/KNL.0503/01.02.01/2024;31-01-2024;24-01-2024;104840000;"Tanah Untuk Jalan Nasional  Bujung Tenuk - Terbanggi 
Besar";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
3;LAP-0010/2/PRO-01/KNL.0503/01.02.01/2024;31-01-2024;24-01-2024;64826000;"Tanah Untuk Jalan Nasional Terbanggi Besar - 
Gunung Sugih";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
4;LAP-0011/2/PRO-01/KNL.0503/01.02.01/2024;31-01-2024;24-01-2024;44261000;"Tanah Untuk Jalan Nasional Jalan Sudirman Metro - 
Kab. Lampung Tengah";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
5;LAP-001/1/PRO-01/KNL.1004/01.02.01/2024;17-01-2024;10-01-2024;51850000;Sewa Sebagian tanah dan bangunan;Kantor Pelayanan Kekayaan Negara dan Lelang Jember;Kantor Pelayanan Kekayaan Negara dan Lelang Jember - KPKNL_PKN;ND-3/KNL.100402/2024;Penilaian Properti;04-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);2;ST-24/KNL.1004/2024;10-01-2024;10-01-2024;;;;;;;;;;;;;;;ND-9/KNL.1004/PiPem.4/22024;17-01-2024;Tanah, Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;2;;;;
6;LAP-0019/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;404957000;3 (Tiga) Unit Kendaraan Bermotor Roda Empat dan 4(Empat) Kendaraan Bermotor Roda Dua;Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;7;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
7;LAP-0007/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;519340000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHM 537/ SUMUR PECUNG ATAS NAMA IDAR SUDARMA,";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
8;LAP-0008/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;117128000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
AJB 1213/2014 A.N. YATI MUNYATI ATAS NAMA YATI MUNYATI";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
9;LAP-0010/1/PRO-07/KNL.0906/01.03.01/2024;25-01-2024;12-01-2024;33707000;3 (tiga) unit kendaraan bermotor roda empat, 8 (delapan) unit kendaraan bermotor roda dua, dan limbah padat dari 2 (dua) unit kendaraan bermotor roda dua;Kantor Pelayanan Kekayaan Negara dan Lelang Purwokerto;PEMERINTAH KABUPATEN PURBALINGGA;030/19872/2023;Penilaian Properti;03-01-2024;Barang Milik Daerah;1;ST-34/KNL.0906/2024;10-01-2024;12-01-2024;;;;;;;;;;;;;;;S-64/KNL.0906/2024;25-01-2024;Peralatan dan Mesin;;Penilaian Barang Milik Daerah;Pemindahtanganan - Penjualan;;1;;;;
10;LAP-0009/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;350854000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHM 03381/ KALIGANDU ATAS NAMA INSINYUR WAWAN KADARISMAN";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
