NOMOR_LAPORAN;TANGGAL_LAPORAN;TANGGAL_PENILAIAN;NILAI_WAJAR_LAPORAN;NAMA_UNIT;PEMOHON;NOMOR_SURAT_PERMOHONAN;KATEGORI_PENILAIAN;TGL_PERMOHONAN_DITERIMA;OBJEK_PENILAIAN;JUMLAH_OBJEK_LAPORAN;NOMOR_SURAT_TUGAS;TGL_MULAI_SURVEY;TGL_SELESAI_SURVEY;NOSURAT_KELENGKAPAN;TGLSURAT_KELENGKAPAN;NOSURAT_BALAS_KELENGKAPAN;TGLSURAT_BALAS_KELENGKAPAN;ND_TENAGA_BANTUAN;TGLND_TENAGA_BANTUAN;NOND_BALAS_BANTUAN;TGL_BALAS_BANTUAN;NOSURAT_BATKD_KIRIM;TGLSURAT_BATKD_KIRIM;NOBALASAN_PEMOHON_BATKD;TGLBALASAN_PEMOHON_BATKD;NO_BATKD;TGL_BATKD;NOMOR_SURAT_PENYERAHAN;TGL_PENYERAHAN;JENIS_OBJEK;JENIS_OBJEK_LAINNYA;TUJUAN_PENILAIAN_1;TUJUAN_PENILAIAN_2;TUJUAN_PENILAIAN_LAINNYA;TOTAL_OBJEK_PERMOHONAN;NOSURAT_KONFIRMASI;TGLSURAT_KONFIRMASI;NOSURAT_BLS_KONFIRMASI;TGLSURAT_BLS_KONFIRMASI;Deskripsi Objek;KODE_OBJEK;KODE OBJEK LAPORAN;KODE TUJUAN;"Jenis Tujuan
(IKU)";"Objek
(SIP)";"Objek
(IKU)";"N
(IKU)";Penyelesaian (Hari Kerja);Indeks;Keterangan;Kanwil
LAP-0008/2/PRO-01/KNL.0503/01.02.01/2024;31/01/2024;24/01/2024;2735000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15/01/2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22/01/2024;24/01/2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31/01/2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;;Tanah Untuk Jalan Nasional Sp. Bujung Tenuk - Bujung Tenuk;;PRO-01;01.02.01;Pemanfaatan (sewa) BMN;Tanah;Tanah dan/atau Bangunan;19;12;85;Sangat Tepat Waktu;Kantor Wilayah DJKN Lampung dan Bengkulu
LAP-0009/2/PRO-01/KNL.0503/01.02.01/2024;31/01/2024;24/01/2024;104840000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15/01/2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22/01/2024;24/01/2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31/01/2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;;Tanah Untuk Jalan Nasional  Bujung Tenuk - Terbanggi Besar;;PRO-01;01.02.01;Pemanfaatan (sewa) BMN;Tanah;Tanah dan/atau Bangunan;19;12;85;Sangat Tepat Waktu;Kantor Wilayah DJKN Lampung dan Bengkulu
LAP-0010/2/PRO-01/KNL.0503/01.02.01/2024;31/01/2024;24/01/2024;64826000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15/01/2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22/01/2024;24/01/2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31/01/2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;;Tanah Untuk Jalan Nasional Terbanggi Besar - Gunung Sugih;;PRO-01;01.02.01;Pemanfaatan (sewa) BMN;Tanah;Tanah dan/atau Bangunan;19;12;85;Sangat Tepat Waktu;Kantor Wilayah DJKN Lampung dan Bengkulu
LAP-0011/2/PRO-01/KNL.0503/01.02.01/2024;31/01/2024;24/01/2024;44261000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15/01/2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22/01/2024;24/01/2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31/01/2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;;Tanah Untuk Jalan Nasional Jalan Sudirman Metro - Kab. Lampung Tengah;;PRO-01;01.02.01;Pemanfaatan (sewa) BMN;Tanah;Tanah dan/atau Bangunan;19;12;85;Sangat Tepat Waktu;Kantor Wilayah DJKN Lampung dan Bengkulu
LAP-001/1/PRO-01/KNL.1004/01.02.01/2024;17/01/2024;10/01/2024;51850000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Jember;Kantor Pelayanan Kekayaan Negara dan Lelang Jember - KPKNL_PKN;ND-3/KNL.100402/2024;Penilaian Properti;04/01/2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);2;ST-24/KNL.1004/2024;10/01/2024;10/01/2024;;;;;;;;;;;;;;;ND-9/KNL.1004/PiPem.4/22024;17/01/2024;Tanah, Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;2;;;;;Sewa Sebagian tanah dan bangunan;;PRO-01;01.02.01;Pemanfaatan (sewa) BMN;Tanah, Bangunan;Tanah dan/atau Bangunan;17;9;90;Sangat Tepat Waktu;Kantor Wilayah DJKN Jawa Timur
LAP-0019/1/PRO-01/KNL.0601/01.03.01/2024;07/02/2024;26/01/2024;404957000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16/01/2024;Barang Rampasan;7;ST-000/WKN.06/2024;23/01/2024;26/01/2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07/02/2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;;3 (Tiga) Unit Kendaraan Bermotor Roda Empat dan 4(Empat) Kendaraan Bermotor Roda Dua;;PRO-01;01.03.01;Pemindahtanganan BMN;Tanah, Bangunan, Peralatan dan Mesin;Tanah dan/atau Bangunan;39;16;95;Sangat Tepat Waktu;Kantor Wilayah DJKN Banten
LAP-0007/1/PRO-01/KNL.0601/01.03.01/2024;07/02/2024;26/01/2024;519340000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16/01/2024;Barang Rampasan;1;ST-000/WKN.06/2024;23/01/2024;26/01/2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07/02/2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;;1 (satu) Bidang Tanah dan BangunanBARANG RAMPASAN KEJAKSAAN NEGERI CILEGONSHM 537/ SUMUR PECUNG ATAS NAMA IDAR SUDARMA,;;PRO-01;01.03.01;Pemindahtanganan BMN;Tanah, Bangunan, Peralatan dan Mesin;Tanah dan/atau Bangunan;39;16;95;Sangat Tepat Waktu;Kantor Wilayah DJKN Banten
LAP-0008/1/PRO-01/KNL.0601/01.03.01/2024;07/02/2024;26/01/2024;117128000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16/01/2024;Barang Rampasan;1;ST-000/WKN.06/2024;23/01/2024;26/01/2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07/02/2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;;1 (satu) Bidang Tanah dan BangunanBARANG RAMPASAN KEJAKSAAN NEGERI CILEGONAJB 1213/2014 A.N. YATI MUNYATI ATAS NAMA YATI MUNYATI;;PRO-01;01.03.01;Pemindahtanganan BMN;Tanah, Bangunan, Peralatan dan Mesin;Tanah dan/atau Bangunan;39;16;95;Sangat Tepat Waktu;Kantor Wilayah DJKN Banten
LAP-0010/1/PRO-07/KNL.0906/01.03.01/2024;25/01/2024;12/01/2024;33707000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Purwokerto;PEMERINTAH KABUPATEN PURBALINGGA;030/19872/2023;Penilaian Properti;03/01/2024;Barang Milik Daerah;1;ST-34/KNL.0906/2024;10/01/2024;12/01/2024;;;;;;;;;;;;;;;S-64/KNL.0906/2024;25/01/2024;Peralatan dan Mesin;;Penilaian Barang Milik Daerah;Pemindahtanganan - Penjualan;;1;;;;;3 (tiga) unit kendaraan bermotor roda empat, 8 (delapan) unit kendaraan bermotor roda dua, dan limbah padat dari 2 (dua) unit kendaraan bermotor roda dua;;PRO-07;01.03.01;Non BMN;Peralatan dan Mesin;Selain Kendaraan;-;16;-;Tidak Termasuk Perhitungan IKU;Kantor Wilayah DJKN Jawa Tengah dan D.I. Yogyakarta
LAP-0009/1/PRO-01/KNL.0601/01.03.01/2024;07/02/2024;26/01/2024;350854000.0;Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16/01/2024;Barang Rampasan;1;ST-000/WKN.06/2024;23/01/2024;26/01/2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07/02/2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;;1 (satu) Bidang Tanah dan BangunanBARANG RAMPASAN KEJAKSAAN NEGERI CILEGONSHM 03381/ KALIGANDU ATAS NAMA INSINYUR WAWAN KADARISMAN;;PRO-01;01.03.01;Pemindahtanganan BMN;Tanah, Bangunan, Peralatan dan Mesin;Tanah dan/atau Bangunan;39;16;95;Sangat Tepat Waktu;Kantor Wilayah DJKN Banten
